word;transport;family member;profession/job;religion;furniture;body ;space;NE;document;emotion;settlement;plant;measurement unit;location;organization;action;food;math;weapon;human;expert;employee;equipment;education;asset;feature;communication;art;nationality;entity;building;medicine;group of people;military;state/condition;vessel/container;substance/material;occupation;part of the whole;programme;symbol;position;drink;system;item;season;result/end product;animal;stationery;path/itinerary;text;water body ;clothes;barrier;structure;time;whole;accident;natural event;information;losses;form/regime;gender;animate;nom_sg;gen_sg;dat_sg;acc_sg;inst_sg;prep_sg;nom_pl;gen_pl;dat_pl;acc_pl;inst_pl;prep_pl
вал;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;m;inanimate;вал;вала;валу;вал;валом;вале;валы;валов;валам;валы;валами;валах
ванна;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;inanimate;ванна;ванны;ванне;ванну;ванной;ванне;ванны;ванн;ваннам;ванны;ваннами;ваннах
ветер;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;m;inanimate;ветер;ветра;ветру;ветер;ветром;ветре;ветры;ветров;ветрам;ветры;ветрами;ветрах
взрыв;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;m;inanimate;взрыв;взрыва;взрыву;взрыв;взрывом;взрыве;взрывы;взрывов;взрывам;взрывы;взрывами;взрывах
визит;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;inanimate;визит;визита;визиту;визит;визитом;визите;визиты;визитов;визитам;визиты;визитами;визитах
груз;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;inanimate;груз;груза;грузу;груз;грузом;грузе;грузы;грузов;грузам;грузы;грузами;грузах
диссертация;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;f;inanimate;диссертация;диссертации;диссертации;диссертацию;диссертацией;диссертации;диссертации;диссертаций;диссертациям;диссертации;диссертациями;диссертациях
дисциплина;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;inanimate;дисциплина;дисциплины;дисциплине;дисциплину;дисциплиной;дисциплине;дисциплины;дисциплин;дисциплинам;дисциплины;дисциплинами;дисциплинах
дождь;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;m;inanimate;дождь;дождя;дождю;дождь;дождём;дожде;дожди;дождей;дождям;дожди;дождями;дождях
доказательство;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;inanimate;доказательство;доказательства;доказательству;доказательство;доказательством;доказательстве;доказательства;доказательств;доказательствам;доказательства;доказательствами;доказательствах
доклад;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;m;inanimate;доклад;доклада;докладу;доклад;докладом;докладе;доклады;докладов;докладам;доклады;докладами;докладах
долг;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;m;inanimate;долг;долга;долгу;долг;долгом;долге;долги;долгов;долгам;долги;долгами;долгах
